calle,latitud,longitud
plaza cataluña,41.38701033461919,2.1699911531800424
rambla de canalets,41.38509454281614,2.1705061373729335
mercado de la boqueria,41.38207763922797,2.1720984474592084
la rambla,41.38136177120406,2.1731679763769067
gran teatro del liceo,41.380231929400686,2.173266552935246
plaza del teatro,41.37864212838878,2.1755665734220706
la rambla,41.376250625384145,2.17762680331563
colon,41.37601852003369,2.1782029772195823
el raval,41.37573721390313,2.1781759024374026
el raval,41.37553070845449,2.178543622138089
 moll de les drassanes,41.37539991828987,2.178925294619854
la rambla del mar,41.375873911192926,2.1793403664653197
la rambla del mar,41.37551983531216,2.180075324454995
 mirador la rambla del mar,41.37512115642547,2.180824902370531
